Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM1484432	"CGVHD_22"	"RNA"	"Homo sapiens"	1	GPL10739	GSE60674	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1484nnn/GSM1484432/suppl"		"PING JIN"	"Jan 04, 2017"
GSM1484433	"CGVHD_23"	"RNA"	"Homo sapiens"	1	GPL10739	GSE60674	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1484nnn/GSM1484433/suppl"		"PING JIN"	"Jan 04, 2017"
GSM1484434	"CGVHD_24"	"RNA"	"Homo sapiens"	1	GPL10739	GSE60674	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1484nnn/GSM1484434/suppl"		"PING JIN"	"Jan 04, 2017"
GSM1484435	"CGVHD_25"	"RNA"	"Homo sapiens"	1	GPL10739	GSE60674	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1484nnn/GSM1484435/suppl"		"PING JIN"	"Jan 04, 2017"
GSM1484436	"CGVHD_26"	"RNA"	"Homo sapiens"	1	GPL10739	GSE60674	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1484nnn/GSM1484436/suppl"		"PING JIN"	"Jan 04, 2017"
GSM1583183	"Healthy_Central_Patient_2"	"RNA"	"Homo sapiens"	1	GPL570	GSE64913	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1583nnn/GSM1583183/suppl"		"Akul Singhania"	"Jan 04, 2017"
GSM1583184	"Healthy_Central_Patient_3"	"RNA"	"Homo sapiens"	1	GPL570	GSE64913	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1583nnn/GSM1583184/suppl"		"Akul Singhania"	"Jan 04, 2017"
GSM1583185	"Healthy_Central_Patient_4"	"RNA"	"Homo sapiens"	1	GPL570	GSE64913	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1583nnn/GSM1583185/suppl"		"Akul Singhania"	"Jan 04, 2017"
GSM1583186	"Healthy_Central_Patient_5"	"RNA"	"Homo sapiens"	1	GPL570	GSE64913	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1583nnn/GSM1583186/suppl"		"Akul Singhania"	"Jan 04, 2017"
GSM1583187	"Healthy_Central_Patient_6"	"RNA"	"Homo sapiens"	1	GPL570	GSE64913	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1583nnn/GSM1583187/suppl"		"Akul Singhania"	"Jan 04, 2017"
