Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM2368469	"Malignant glioma clone U3065MG-C78"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368469/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368470	"Malignant glioma clone U3065MG-C94"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368470/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368471	"Malignant glioma clone U3065MG-C95"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368471/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368472	"Malignant glioma clone U3065MG-C113"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368472/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368473	"Malignant glioma clone U3065MG-C466"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368473/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368474	"Malignant glioma clone U3065MG-C475"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368474/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368475	"Malignant glioma clone U3065MG-C482"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368475/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368476	"Malignant glioma clone U3065MG-C271"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368476/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368477	"Malignant glioma clone U3117MG-C75"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368477/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368478	"Malignant glioma clone U3117MG-C232"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368478/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368479	"Malignant glioma clone U3167MG-C173"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368479/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368480	"Malignant glioma clone U3167MG-C390"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368480/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368481	"Malignant glioma clone U3167MG-C500"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368481/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368482	"Malignant glioma clone U3167MG-C723"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368482/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368483	"Malignant glioma clone U3167MG-C778"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368483/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368484	"Malignant glioma clone U3167MG-C670"	"genomic"	"Homo sapiens"	1	GPL16131	GSE89398;GSE89401	"CEL;CYCHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368484/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368489	"Malignant glioma clone U3017MG-C56"	"RNA"	"Homo sapiens"	1	GPL17586	GSE89399;GSE89401	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368489/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368490	"Malignant glioma clone U3017MG-C64"	"RNA"	"Homo sapiens"	1	GPL17586	GSE89399;GSE89401	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368490/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368491	"Malignant glioma clone U3017MG-C70"	"RNA"	"Homo sapiens"	1	GPL17586	GSE89399;GSE89401	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368491/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368492	"Malignant glioma clone U3017MG-C80"	"RNA"	"Homo sapiens"	1	GPL17586	GSE89399;GSE89401	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368492/suppl"		"Bo Segerman"	"Dec 13, 2016"
GSM2368493	"Malignant glioma clone U3017MG-C88"	"RNA"	"Homo sapiens"	1	GPL17586	GSE89399;GSE89401	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2368nnn/GSM2368493/suppl"		"Bo Segerman"	"Dec 13, 2016"
