Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM2473638	"CPP_ID00451_1; reanalysis of GSM1661003"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473638/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473639	"CPP_ID00814_1_AMBION; reanalysis of GSM1661004"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473639/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473640	"EPNM_ID00085_1; analysis of myxopapillary ependymoma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473640/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473641	"EPNM_ID00260_1; analysis of myxopapillary ependymoma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473641/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473642	"EPNM_ID00511_1; analysis of myxopapillary ependymoma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473642/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473643	"EPNM_ID00656_1; analysis of myxopapillary ependymoma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473643/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473644	"EPNM_ID00685_1; analysis of myxopapillary ependymoma surgical sample"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473644/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473645	"EPNPFA_ID00064_1; reanalysis of GSM2306121"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473645/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473646	"EPNPFA_ID00195_1; reanalysis of GSM2306122"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473646/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473647	"EPNPFA_ID00393_1; reanalysis of GSM2306123"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473647/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473648	"EPNPFA_ID00492_1; reanalysis of GSM2306124"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473648/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473649	"EPNPFA_ID00507_1; reanalysis of GSM2306125"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473649/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473650	"EPNPFA_ID00691_1a; reanalysis of GSM2306126"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473650/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473651	"EPNPFA_ID00812_1a; reanalysis of GSM2306127"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473651/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473652	"EPNPFA_ID00839_1_AMBION; reanalysis of GSM2306128"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473652/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473653	"EPNPFA_ID00859_1_AMBION; reanalysis of GSM2306129"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473653/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473654	"EPNPFA_ID00928_1_AMBION; reanalysis of GSM2306130"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473654/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473655	"EPNPFA_ID00928_3_AMBION; reanalysis of GSM2306131"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473655/suppl"		"Andrew M Donson"	"Feb 01, 2017"
GSM2473656	"EPNPFA_ID00928_4 _AMBION; reanalysis of GSM2306132"	"RNA"	"Homo sapiens"	1	GPL570	GSE94349	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2473nnn/GSM2473656/suppl"		"Andrew M Donson"	"Feb 01, 2017"
