Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM2195471	"Human_HBV_sample_Hep-0272"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195471/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195472	"Human_HBV_sample_Hep-0273"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195472/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195473	"Human_HBV_sample_Hep-0274"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195473/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195474	"Human_HBV_sample_Hep-0278"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195474/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195475	"Human_HBV_sample_Hep-0280"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195475/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195476	"Human_HBV_sample_Hep-0281"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195476/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195477	"Human_HBV_sample_Hep-0284"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195477/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195478	"Human_HBV_sample_Hep-0287"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195478/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195479	"Human_HBV_sample_Hep-0288"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195479/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195480	"Human_HBV_sample_Hep-0290"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195480/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195481	"Human_HBV_sample_Hep-0293"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195481/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195482	"Human_HBV_sample_Hep-0295"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195482/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195483	"Human_HBV_sample_Hep-0303"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195483/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195484	"Human_HBV_sample_Hep-0304"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195484/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195485	"Human_HBV_sample_Hep-0305"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195485/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195486	"Human_HBV_sample_Hep-0309"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195486/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195487	"Human_HBV_sample_Hep-0311"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195487/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195488	"Human_HBV_sample_Hep-0313"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195488/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195489	"Human_HBV_sample_Hep-0314"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195489/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195490	"Human_HBV_sample_Hep-0315"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195490/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195491	"Human_HBV_sample_Hep-0319"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195491/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195492	"Human_HBV_sample_Hep-0321"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195492/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195493	"Human_HBV_sample_Hep-0323"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195493/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195494	"Human_HBV_sample_Hep-0324"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195494/suppl"		"Weichen Zhou"	"Feb 28, 2017"
GSM2195495	"Human_HBV_sample_Hep-0325"	"RNA"	"Homo sapiens"	1	GPL570	GSE83148	"CEL;CHP"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2195nnn/GSM2195495/suppl"		"Weichen Zhou"	"Feb 28, 2017"
