Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM2047104	"xeno22_control"	"RNA"	"Homo sapiens"	1	GPL570	GSE77270	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2047nnn/GSM2047104/suppl"		"Luca Trentin"	"Mar 24, 2017"
GSM2047105	"xeno22_treatment"	"RNA"	"Homo sapiens"	1	GPL570	GSE77270	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2047nnn/GSM2047105/suppl"		"Luca Trentin"	"Mar 24, 2017"
GSM2047106	"xeno1L_control"	"RNA"	"Homo sapiens"	1	GPL570	GSE77270	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2047nnn/GSM2047106/suppl"		"Luca Trentin"	"Mar 24, 2017"
GSM2047107	"xeno1L_treatment"	"RNA"	"Homo sapiens"	1	GPL570	GSE77270	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2047nnn/GSM2047107/suppl"		"Luca Trentin"	"Mar 24, 2017"
GSM2047108	"xeno17_control"	"RNA"	"Homo sapiens"	1	GPL570	GSE77270	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2047nnn/GSM2047108/suppl"		"Luca Trentin"	"Mar 24, 2017"
GSM2047109	"xeno17_treatment"	"RNA"	"Homo sapiens"	1	GPL570	GSE77270	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2047nnn/GSM2047109/suppl"		"Luca Trentin"	"Mar 24, 2017"
GSM2047110	"xeno31_control"	"RNA"	"Homo sapiens"	1	GPL570	GSE77270	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2047nnn/GSM2047110/suppl"		"Luca Trentin"	"Mar 24, 2017"
GSM2047111	"xeno31_treatment"	"RNA"	"Homo sapiens"	1	GPL570	GSE77270	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2047nnn/GSM2047111/suppl"		"Luca Trentin"	"Mar 24, 2017"
GSM2047112	"xeno26_control"	"RNA"	"Homo sapiens"	1	GPL570	GSE77270	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2047nnn/GSM2047112/suppl"		"Luca Trentin"	"Mar 24, 2017"
GSM2047113	"xeno26_treatment"	"RNA"	"Homo sapiens"	1	GPL570	GSE77270	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2047nnn/GSM2047113/suppl"		"Luca Trentin"	"Mar 24, 2017"
GSM2100359	"Sample1_CS_1"	"RNA"	"Homo sapiens"	1	GPL570	GSE79642	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2100nnn/GSM2100359/suppl"		"William R Swindell"	"Mar 24, 2017"
GSM2100360	"Sample2_CS_2"	"RNA"	"Homo sapiens"	1	GPL570	GSE79642	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2100nnn/GSM2100360/suppl"		"William R Swindell"	"Mar 24, 2017"
GSM2100361	"Sample3_CS_SE_1"	"RNA"	"Homo sapiens"	1	GPL570	GSE79642	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2100nnn/GSM2100361/suppl"		"William R Swindell"	"Mar 24, 2017"
GSM2100362	"Sample4_CS_SE_2"	"RNA"	"Homo sapiens"	1	GPL570	GSE79642	"CEL"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2100nnn/GSM2100362/suppl"		"William R Swindell"	"Mar 24, 2017"
